user_id,address,url
0,1GdNFUjMYGVJVue81eBMC4FVTLNuU5wSr9,www.chuanke.com
1,1FSRUMHyD3JyrTyvNgCVhaeknvFBCneMpa,www.ihou.com
2,16PU7kdUjukaujZQk2vN5gw3vmkbFJJ5RE,www.discuz.net
3,1DzWPykBF7Y9Xk7rGPWqGJrgzTjptUJujs,www.55bbs.com
4,1Q4mCqUi8gGSwf2njdsVGeBBrLgqr1XWzr,www.shopex.cn
5,1LPG4SeaxBCZz3RB5zDXs9G9Mq3id1KjCt,www.99bill.com
6,1Pdt7AFhXwKd3MTCgGXkaKxNFjTANsaWPp,www.ly.com
7,136znEd4K5btpfsxmrbLgPhdjMPonwntox,www.mogujie.com
8,145pYiULKjANgtUC5dnmuXDenL2XTxMBHP,www.elong.com
9,1M3FgAq9wkgpn3ovZ8JodsTSbP6AocfSMx,www.xinhuanet.com
10,1VaKAPTEYP3LF68CQTXiwbY2y2fvUQhqD,www.iresearch.cn
11,18sW5zrfNam4ch5cCno2pLTYr2tEY3XDJm,www.zuche.com
12,14VXNgKu8FS5g7tVQyiNyVgUHSaGBDdPH5,www.alibaba.com
13,12DJAzPXKgaemMc43WyJUfCJFP83Y7DBvU,www.55bbs.com
14,1BkLCiQZVC8BTBRDHB8Afr8pVsjgV4JtpZ,www.xueersi.com
15,18TjdmXcrP7Xa36TxdetG4ZFrFR9Liq2Wn,www.tucao.cc
16,1KJJ4QDy2aNhnwtmnwfi5AmkjDL4Hh2Q3P,www.55bbs.com
17,1HpijcxVRsgkUaRev3u2GWE6f8bMFASF8e,www.mogujie.com
18,1777VK3EyNmF4niB3FN3uS16YEU5boX3Pb,www.xinhuanet.com
19,12xWYXcWYTMJcPPdspAGcmqi4KqycBvJmh,www.loveq.cn
20,13EXT29Gkvfo8p5MTxBCRDedxAv59WLeth,www.meihua.info
21,1FzSGwicG1PvT25CUTaBjwtkU5Dkr5nrre,www.vko.cn
22,1ETKTmsjUAmXujLf1LgfzKVx2Qae1tKPz6,www.39.net
23,1BB92wAoRdhAmEJwAKtxhNr7p1un6oodQn,www.vip.com
24,1BP2BR3u5scvpYXK4ebRTv2MxRK8qfMGoX,www.juedui100.com
25,1GSpdiCahJhBmmcRrRH5e1FVLfRJCyamo8,www.gongchang.com
26,1MeCn5RCRuGRcQqLepP8xbEweWDmTjKssh,www.iqiyi.com
27,14QVAwFjgZPvyTVcRSRsc6E6J6Quyfubvx,www.jxedt.com
28,1JMgd5fiDDy9sTU6Tcradv4pdKeAo8drx6,www.kekenet.com
29,1Eku26oJbQH5VywXtET9Ce4jGMgnkfWBSQ,www.58.com
30,1NGPasEXjMQvsEuhSQJQGwM2ccjpvRTvRC,www.masamaso.com
31,1Pjr1sD5HHVyjq3yh1b3LKYHSR1oSVvEbK,www.quwan.com
32,1F4uhXb9YYZDhbn9Vyps1fgKfpLmh44B46,www.iqiyi.com
33,15Gd5NiNCzAhNzqc6K12i5BN5Eyic6zMkx,www.babytree.com
34,17dHjws1Jsn6Wr3Fc2jQhcmppyYGXQFiyr,www.edu24ol.com
35,1GeeFTSxRbBkfzQ63Ay8kVrdGZVnD7cnNj,www.edeng.cn
36,1BMZfhjW2KEfksCb3Ccnj16r4KSggiYuMf,www.webcars.com.cn
37,13Sm7KC3S3vy9GuUSoa7f96shZ53geA7dT,www.chaoxing.com
38,1MyUSZSA3T1a81gSELNs2jEkMAUraSFkHj,www.meihua.info
39,1PDwhcKBhy7H8GtrYJA5F5ZAJxWDvpy9TS,www.3dmgame.com
40,1A6hHhZmAnt9km5tD7qQgYaDzmVNhawWmm,www.vip.com
