user_id,address,mean
0,1AqpKb6FWLbA3SSHXCahDEgyncDz9xEqXB,271.47199453491953
1,1H3kdzkeBUB17LZDXUNco36JJeAkC4A8D,186.42669156532253
2,1Hx79ZQpYfGw2JxJAhENrZ8pbPQdd3qMPn,176.52101542913744
3,14SvZvup9FFYLUoN5Mqar4JMhWL1kQuphq,97.05807342273516
4,1MzBGfaPMNFdP18uMSAi3cCPj8H2g69XNe,74.4779382042203
5,1JuqZyAhN2JXFjBsqfMg9oegayxQAPY64Z,49.860146367284656
6,12GK8jTxofde9vuGaphs1GurubAQfwHnE8,161.3206323130147
7,1FA2KNVpoZoWx1S89M2mGgkCGwVLyA52Uj,119.37222338426933
8,1L1NpMCVqvp4z6FjMF3qAiqNvsrysBFe9t,121.3931717264387
9,1Ct89q2h3nMxA5eccX6bsJ3vMNsk6r3mVa,312.25857250844336
10,1GXUafWcwKWuqERhZkjuon25KUgq56vZbf,176.08180127035683
11,1JLnVaBAxrxk3FYXYks2JskLpd9vSvhRB3,161.03075240257732
12,1KfY3YEk2fFJhDpx8f1hKVYGWYjh1Yojob,36.88313643985245
13,1Kzz7FfcaS5kGsaXJfpDj1ynn54MnXsvh9,46.772005441872494
14,1GULjZXnTW9FDUWFyTQQBcUrNSVyEAF1Nq,1.940795305859865
15,16N28FkxHw5LuCHQaRmZkRp3wVr8dq25dF,239.34230982238873
16,1Kwu2xtWmTxSLhyTpu2AyXrwgN93zGweaM,118.669447096686
17,19mJ36mvUxPe1CGAPDp8R8ApfhK5u1LRYM,169.93468874772648
18,164VJgW9AZeAEFtiCBRQ7Jwui7QywGCsxA,307.05089520058436
19,1JTs2Kp9iW3WAJRsUuigXUYy7HCdre21gC,153.23449330104035
20,13GzKShZbMjXucr2EnRssvtg211oNT36vR,149.4551828414419
21,19rE93athQG1s6snipXyAzky2QCGsHhCdH,27.45996375897701
22,1PsN9kgSceF43yLRFw5A9MAWd432ZC9bj6,50.375624160860106
23,1EMyReVtV9mvHwkEY1VEwffdHPtY2fdUGB,212.63212545627323
24,1QBdfHZ22oHqkgmfe6CCRbw5yJEMpKXmgw,171.09628451408884
25,1CRA3fx629hLf8UF831XNbemykrFAazsiJ,123.0778510310147
26,1KHjWSVbRnuhKJiGdzX2okf7wisiAP4B7V,171.72344061367298
27,1DyVk89jrf2zdAvLhAh32qrj7oKPenA8PY,211.53691663337844
28,1AwQrJsR4hHCaE2UEiYVGcMrnodVG4PLqF,30.262988732855504
29,14gJgPJgV6WmGgHYUrHjhSHyecEwTigZu5,70.31310174571007
